,judul,tanggal_berita,paragraf,tanggal_scraped
32,Ini 5 Strategi OJK Hadapi Risiko Finansial di Tahun 2019,"12/01/2019, 14:42 WIB","- Otoritas Jasa  Keuangan ( OJK) memandang kinerja perekonomian pada 2018 secara keseluruhan membaik dibandingkan tahun sebelumnya.
Oleh karena itu, muncul optimisme bahwa pada tahun ini, kinerjanya semakin membaik dan menumbuhkan dampak positif bagi pasar dan industri  keuangan. Meski begitu, Ketua Dewan Komisioner OJK Wimboh Santoso mengatakan, masih ada risiko finansial yang patut diwaspadai, baik internal maupun eksternal.  ""Di tengah optimisme masih ada downside risk. Kita harus tetap waspada,"" ujar Wimboh saat membuaka Pertemuan Tahunan Industri Jasa Keuangan di Jakarta, Jumat (11/1/2019) malam.
 Secara garis besar, imbuh Wimboh, OJK akan mendukung  pembiayaan sektor-sektor prioritas pemerintah dalam mendorong pertumbuhan ekonomi, pemberdayaan UMKM dan masyarakat kecil, mendorong inovasi teknologi informasi industri jasa keuangan, serta reformasi internal dalam pengaturan dan pengawasan sektor jasa keuangan. Oleh karena itu, OJK menyusun strategi yang terfokus dalam lima poin untuk memitigasi risiko tersebut.  , OJK akan memperbesar alternatif pembiayaan jangka menengah dan panjang bagi sektor strategis, baik pemerintah dan swasta, melalui pengembangan pembiayaan dari pasar modal.
OJK akan mendorong, memfasilitasi, dan memberikan insentif kepada calon emiten melalui penerbitan efek berbasis utang atau syariah, Reksa Dana Penyertaan Terbatas (RDPT), Efek Beragun Aset (EBA), Dana  Investasi Real Estate (DIRE), Dana Investasi Infrastruktur (DINFRA), instrumen derivatif berupa Indonesia Goverment Bond Futures (IGBF), Medium-Term-Notes (MTN), dan pengembangan produk  investasi berbasis syariah, di antaranya Sukuk Wakaf.  Selain itu, OJK juga mendorong realisasi program keuangan berkelanjutan dan blended finance untuk proyek-proyek ramah lingkungan dan sosial.
 , OJK mendorong lembaga jasa keuangan meningkatkan kontribusi pembiayaan kepada sektor prioritas seperti industri ekspor, substitusi impor, pariwisata maupun sektor perumahan. OJK mendorong realisasi program Kawasan Ekonomi Khusus (KEK) Pariwisata bekerja sama dengan instansi terkait.",2019-08-31
33,Gaji Milenial Masih Terdampak Krisis Finansial 2008,"04/02/2019, 11:38 WIB","-  Milenial yang memasuki dunia kerja selama krisis keuangan 2008 lalu, hingga kini masih terkena dampaknya terutama dari sisi  gaji mereka.
 Gaji para  milenial ini tertekan paling besar dibandingkan kelompok umur lainnya saat krisis finansial berlangsung. Akibatnya, mereka yang saat ini sudah memasuki usia 30-an, lebih sulit untuk mengatasi tekanan ekonomi dalam keluarga.
Demikian studi yang dilakukan Resolution Foundation, seperti dikutip dari Theguardian.com, Senin (4/2/2019).
Studi tersebut menunjukkan, pada tahun 2018,  pendapatan pekerja berusia di atas 50-an sudah pulih ke tingkat di atas sebelum krisis. Sementara itu gaji para pekerja berusia 30-an masih 7 persen di bawah puncak sebelum krisis.

Sebagai pekerja muda berusia 20-an selama krisis keuangan, milenial terkena dampak terburuk karena gajinya tidak bisa mengimbangi inflasi. Gaji mereka turun 11 persen dari 2009 hingga 2014 sebelum mulai pulih tahun-tahun terakhir ini. Laporan itu menyebutkan, ada tanda-tanda bahwa pendapatan para milenial tersebut terkena efek scarring berkepanjangan.
""Risiko ini membuatnya lebih sulit untuk mengatasi tekanan pendapatan yang mungkin mereka hadapi di usia 30-an - termasuk membesarkan anak-anak,"" sebutnya.
Temuan itu merupakan bagian dari Laporan Earning Outlook terbaru yang dirilis Resolution Foundation yang menunjukan bahwa, pertumbuhan pendapatan berbanding inflasi sudah mulai pulih pada awal tahun lalu.

“Diperkirakan awal tahun 2019 akan naik 1,5 persen, karena inflasi yang mereda dan pertumbuhan gaji nominal tetap di atas 3 persen. Ini mencerminkan pertumbuhan penyesuaian gaji dengan inflasi terkuat sejak referendum UE, meskipun masih jauh di bawah rata-rata sebelum krisis sebesar 2,1 persen,” kata laporan itu.
Tahun ini diprediksi semua generasi akan mendapatkan keuntungan dari kenaikan upah yang disesuaikan dengan inflasi tersebut. Meskipun ada kemungkinan bahwa generasi milennial masih akan terus tertinggal dibandingkan pekerja kelompok umur lainnya, baik yang lebih tua maupun lebih muda.",2019-08-31
34,SMF Bidik Pertumbuhan Bisnis 5-10 Persen,"21/01/2019, 17:08 WIB","Kendati 2019 diyakini merupakan tahun penuh tantangan, namun PT Sarana Multigriya Finansial (Persero) atau  SMF optimistis dapat mencetak pertumbuhan bisnis antara 5 sampai 10 persen.
""Kami tidak akan terlalu agresif, melihat kondisi yang penuh tantangan. Pertumbuhan sekitar 5-10 persen,"" ujar Direktur Utama SMF Ananta Wiyogo, di Jakarta, Senin (21/1/2019).
Ananta merinci, pertumbuhan bisnis sebesar itu mencakup segmen revenue yang ditargetkan sedikit di atas Rp 1,3 triliun.
Kemudian segmen bisnis terkait sekuritisasi dari Rp 2 triliun menjadi Rp 2,2 triliun, dan penyaluran pinjaman dari Rp 9,6 triliun menjadi Rp 10 triliun.
Ada pun untuk segmen laba menjadi Rp 450 miliar dari sebelumnya Rp 411 miliar. Sedangkan realisasi laba tahun 2018 sudah melampaui target yakni Rp 430 miliar (unaudited).

Guna merealisasikan target pertumbuhan tersebut, imbuh Ananta, SMF akan melakukan berbagai strategi. Di antaranya yang terkait misi perseroan yakni menyediakan pembiayaan sekunder jangka panjang untuk perumahan bagi masyarakat berpenghasilan rendah (MBR). 
SMF akan terus mengakselerasi dan inisiasi beberapa produk atau program, yaitu program penurunan beban fiskal.
KOMPAS.com / DANI PRABOWO Ilustrasi rumah subsidi.Dalam program ini, SMF memberikan dukungan dengan membiayai porsi 25 persen pendanaan KPR FLPP sejak Agustus 2018.
Dengan demikian, Pemerintah hanya menyediakan 75 persen dari total pendanaan, yang sebelumnya sebesar 90 persen.
Sepanjang Agustus-Desember 2018, SMF telah merealisasikan penyaluran dana KPR FLPP, kepada 28.932 debitur dengan total dana senilai Rp 948 miliar melalui 10 bank penyalur KPR FLPP.",2019-08-31
35,"YLKI soal DP 0 Persen Kredit Kendaraan: OJK Dibiayai Industri Finansial, Bagaimana Bisa Objektif?","25/01/2019, 14:00 WIB","- Yayasan Lembaga Konsumen Indonesia ( YLKI) menilai Peraturan Otoritas Jasa Keuangan (POJK) Nomor 35/POJK.05/2018 tentang Penyelenggaraan Usaha Perusahaan Pembiayaan kontraproduktif.
Aturan yang dikeluarkan pada akhir 2018 tersebut mengatur ketentuan terkait kredit nol persen untuk mobil dan sepeda motor. ""Kita tak tahu paradigma  OJk mengeluarkan peraturan itu. Aturan ini juga kontraproduktif,"" ujar Ketua Harian YLKI Tulus Abadi di Jakarta, Jumat (25/1/2019). Tulus menilai peraturan tersebut dibuat untuk menguntungkan perusahaan multifinance. Peraturan itu dibuat tanpa memperhatikan nasib konsumen.
 ""Kita duga ini bentuk conflict of interest antara  OJK dan industri finansial sehingga ini sangat menguntungkan mereka. OJK hidupnya dari industri finansial. Jadi bagaimana mereka awasai dengan objektif kalau biayanya dari industrinya. Ke depannya harus dibiayai APBN,"" kata Tulus. Atas dasar itu YLKI berencana mengugat Peraturan OJK (POJK) No. 35/2018 ke Mahkamah Agung.  Ketentuan lengkap DP  kredit kendaraan 0 persen ada di Pasal 20 Peraturan OJK Nomor 35/ POJK.05/2018. Hal itu bisa diberikan dengan syarat tingkat kesehatan keuangan perusahaan minimum sehat dan mempunyai nilai Rasio Non Performing Financing (NPF) Netto lebih rendah atau sama dengan 1 persen.",2019-08-31
36,Ingin Kenalkan Uang pada Anak? Yuk Belajar dari Chrissy Teigen,"15/01/2019, 07:52 WIB","Model  Chrissy Teigen sering menjadi acuan tren, mulai dari dunia mode hingga penulisan buku masakan.
Namun, ada satu hal lagi yang bisa dipelajari dari sosok Teigen, yaitu cara dia memberikan edukasi  finansial kepada  anak.
Putri pertama Teigen yang bernama Luna Simone Stephens, kini sudah menginjak usia 2,5 tahun.
Bahasan ini menjadi topik yang diangkat dalam sebuah artikel di laman Forbes.
Seperti kebanyakan orangtua lainnya, Teigen tentu menghadapi masalah dengan anak, ketika meminta putrinya makan.
Namun, istri penyanyi  John Legend itu pun mempunyai solusi menarik.
Ia membuatkan menu makanan komplet dengan gambar pada setiap makanan untuk dibaca oleh sang anak.
Alih-alih hanya meminta Luna memilih makanan, Teigen menambahkan informasi harga pada menu tersebut.
Dia memberikan tagihan satu dollar AS dan lima dollar AS, untuk Luna ""membeli"" makanannya.
Cara ini ternyata berhasil. Luna ""memesan"" makanannya, makan dan ""membayar"" untuk makanan tersebut.",2019-08-31
37,Terapkan 3 Hal Ini agar Resolusi Finansial Tak Hanya Jadi Wacana,"15/01/2019, 17:35 WIB","- Membuat resolusi dan perencanaan sepanjang tahun layaknya tak lepas dari rutinitas yang mesti dihadapi saat 1 Januari datang. Namun, sayangnya resolusi kadang ditetapkan tanpa adanya rencana nyata bagaimana cara mencapainya.
Bermimpi besar dan menginginkan lebih banyak tentu tidak salah, tapi harus diikuti  perencanaan dari A ke Z serta memperimbangkan bagaimana kemungkinan pencapaian tujuan-tujuan tersebut. Dari segi finansial, resolusi  keuangan pun layaknya perlu untuk dipertimbangkan sebagai tujuan nyata seseorang. Pakar keuangan Steven M Hughes yang dikutip dari WLTX.com, Selasa (15/1/2019), mengatakan ada tiga cara untuk memastikan  resolusi finansial Anda menjadi kenyataan di tahun ini.
 Menurut sebuah studi oleh Goldman Sachs, 80 persen orang lebih suka menyingkirkan utang mereka ketimbang  menabung untuk disimpan.
Berangkat dari hal tersebut, apakah tujuan Anda adalah untuk menabung lebih banyak? Mengurangi utang? Atau menemukan cara untuk menghasilkan lebih banyak uang?  Tetapkan spesifik pada hasil yang ingin Anda lihat atau masukkan hal yang lebih spesifik dalam resolusi diikuti oleh tindakan Anda. Jika Anda berencana untuk menabung lebih banyak tahun ini, tambahkan hal ini kepada resolusi untuk menabung secara mingguan atau bulanan Anda. Misalnya, Rp 300.000 setiap minggu atau Rp 1,5 juta per bulan.   Hal ini contohnya, mereka yang ingin berolahraga lebih banyak tahun ini awalnya menjadwalkan 3 atau 4 hari dan bukannya langsung 6 atau 7 hari, hal tersebut pun berlaku sama untuk keuangan. Temukan tindakan berulang yang akan membuat Anda semakin dekat untuk mewujudkan resolusi keuangan Anda tersebut, tetapi jadikan hal itu sesuatu yang hampir membuat ada seolah tidak sanggup jika Anda tidak menyelesaikannya. Hal ini tentu perlu kerja keras dan pembiasaan.  Apakah Anda mengenal teman atau anggota keluarga yang memiliki resolusi yang sama dengan Anda? Minta mereka untuk membantu Anda tetap di jalur ini. Jika Anda tidak mengenal siapa pun di lingkaran dekat Anda, paparkan resolusi Anda ke media sosial dan buat pembaruan status tentang hal tersebut untuk resolusi spesifik Anda. Ini adalah salah satu cara paling ampuh untuk melihat perubahan apa yang Anda telah lakukan.",2019-08-31
38,"Sebelum Menikah, Diskusikan 6 Masalah Finansial Ini dengan Pasangan","23/01/2019, 08:32 WIB","- Membangun hidup baru setelah  menikah ternyata tak sesederhana yang dipikirkan. Ini terutama dalam menata finansial karena pengeluaran cukup besar untuk menyicil rumah, membayar tagihan listrik dan air, dan sebagainya.
 Pasangan bisa saja memiliki tujuan dan tantangan  keuangan yang berbeda dari sebelum menikah. Oleh karena itu, sebelum menikah, pastikan dulu Anda dan  pasangan memiliki kesamaan visi dan memiliki pemahaman yang baik tentang kondisi keuangan masing-masing sebelum menjadi masalah di kemudian hari.  Sebagaimana dikutip dari Forbes, Rabu (23/1/2019), setidaknya ada 6 isu keuangan yang harus diperhatikan dalam memulai bahtera rumah tangga. Sebelum memutuskan untuk menikah, sebaiknya Anda dan pasangan telah mendiskusikan enam masalah keuangan tersebut.   Setiap pribadi memiliki cara masing-masing dalam mengelola keuangan, khususnya untuk tabungan dan pengeluaran dalam sebulan, misalnya.
Anda mungkin bisa menakar kebiasaan pasangan dengan melihat gaya hidupnya. Namun, perlakuan mereka terhadap uang kemungkinan bisa berbeda.
Kebiasaan orangtua pasangan dalam mengelola keuangan sedikit banyak berpengaruh pada caranya mengelola keuangan juga. Oleh karena itu, penting memahami apa yang dipikirkan pasangan secara impulsif, sikap mereka terhadap tabungan dan investasi, dan ketakutan finansial apa yang mungkin disembunyikan.
Setelah Anda saling memahami nilai uang dan kebiasaan masing-masing, Anda dapat menetapkan tujuan keuangan bersama dengan lebih baik.",2019-08-31
39,5 Cara Sederhana Menjadi Lebih Cerdas Finansial di 2019,"04/01/2019, 10:00 WIB","- Anda tidak harus menjadi ahli untuk mengetahui tentang uang Anda dengan baik. Bahkan, beberapa penyesuaian mudah dalam  menabung, belanja, dan  berinvestasi dapat membantu Anda membangun  kekayaan.
Dilansir dari CNBC, Jumat (4/1/2019), ada empat fakta sederhana tentang uang yang dapat membantu Anda untuk menjadi cerdas secara finansial di tahun 2019.

Semakin awal Anda menabung dan berinvestasi, maka akan semakin baik.
""Sebenarnya masalahnya adalah, Anda harus berinvestasi lebih banyak di usia 20-an daripada di usia 30-an jika Anda bisa,"" kata pakar keuangan pribadi, Suze Orman.
Jika Anda berinvestasi dalam jumlah kecil dan membiarkannya tumbuh selama beberapa dekade, umumnya akan jauh lebih banyak daripada jika Anda telah berinvestasi dalam jumlah yang lebih besar nanti.

Jika Anda hanya menabung dan tidak berinvestasi, Anda menyiapkan diri untuk kehilangan uang dalam jangka panjang, kata Danielle Town, penulis buku ""Invested: How Warren Buffett and Charlie Munger Taught Me to Master My Mind, My Emotions, and My Money (with a Little Help from My Dad).""
""Itu karena inflasi menyebabkan harga naik, yang membuat nilai uang berkurang dari waktu ke waktu. Sementara tagihan 20 dollar AS akan selalu bernilai 20 dollar AS,"" sebut Town.",2019-08-31
40,"Dirut SMF: Kami Punya Dana Cukup, Berapa Pun Jumlah Kebutuhan Rumah","17/01/2019, 19:16 WIB","Sebagai fiscal tools Pemerintah dalam penyediaan dana jangka menengah panjang, PT Sarana Multigriya Finansial (Persero) atau  SMF siap mendukung Program Nasional  Sejuta Rumah tahun ini.
Terutama untuk pembiayaan rumah layak terjangkau bagi Masyarakat Berpenghasilan Rendah (MBR) dengan fasilitas KPR FLPP.
""Berapa pun kebutuhannya kami siap. Dana ada, dan cukup untuk membiayai pembangunan rumah,"" tegas Direktur Utama PT SMF Ananta Wiyogo kepada Kompas.com, usai penandatangan PKO dengan Bank Penyalur KPR FLPP di Jakarta, Kamis (17/1/2018). 
Ananta menjelaskan, merujuk peran sebagai fiscal tools dalam mengurangi beban fiskal Pemerintah, SMF akan membiayai 25 persen porsi pendanaan KPR FLPP.

Sementara Pemerintah hanya menyediakan 75 persen dari total pendanaan FLPP yang semula sebesar 90 persen.
Dengan demikian, dari total Rp 7,1 triliun alokasi dana penyaluran KPR FLPP tahun 2019, SMF akan membiayai Rp 1,775 triliun dan Pemerintah Rp 5,325 triliun.
Ananta menyatakan optimismenya, pembiayaan yang disalurkan SMF dapat membantu pemerintah memperkecil backlog hunian secara signifikan.
Untuk diketahui, backlog hunian saat ini masih berada pada angka 7,6 juta unit pada 2015 dan diharapkan turun menjadi 5,4 juta unit pada tahun 2019.Wujud komitmen SMF ditandai dengan penandatanganan Perjanjian Kerjasama Operasional (PKO) dengan 14 bank penyalur KPR FLPP.
Ke-14 bank tersebut adalah Bank BTN, Bank Papua, Bank Kalbar, Bank Artha Graha, Bank Sultra, Bank NTT, Bank Jatim, Bank BJB, Bank Sulselbar, Unit Usaha Syariah (UUS) Bank Kalsel, UUS Bank BTN, UUS Bank BJB, UUS Bank Jatim, dan UUS Bank Sumut.",2019-08-31
41,"Pasar di Indonesia Tak Stabil, Apa Penyebabnya?","06/12/2018, 12:05 WIB","- Perkembangan perekonomian Indonesia tahun ini terbilang cukup dinamis dan menantang.  Managing Director and Head of Global Markets  HSBC Indonesia Ali Setiawan mengatakan, akhir tahun 2017 sampai dengan awal Januari 2018aliran dana asing yang masuk ke lndonesia (capital inflow) cukup tinggi. Namun kondisi tersebut berbalik setelahnya.  “Di saat itu, total dana asing di obligasi pemerintah bahkan sempat hampir mencapai Rp 880 triliun. Namun, adanya perubahan kebijakan Fed rate menyebabkan pergesaran pandangan market tersebut,” ujar Ali dalam media notes yang diterima Kompas.com, Kamis (6/12/2018). Menurutnya, ada beberapa faktor pemicu yang menyebabkan tidak stabilnya pasar di Indonesia selama 2018.
Pertama, cukup tingginya arus dana asing yang keluar (outflow) di pasar modal Indonesia dan juga pembelian mata uang asing untuk kebutuhan impor di dalam negeri.  “Pada dasarnya, terjadinya outflow akibat perubahan persepsi pasar bukanlah momok yang harus ditakuti Indonesia. Bahkan di tahun-tahun sebelumnya termasuk krisis global 2008, outflow jauh lebih besar,” papar Ali.
Pelemahan Rupiah
Sementara itu, pelemahan rupiah yang hampir mencapai 10 persen sebenarnya dipicu oleh kondisi domestik, yaitu struktur supply dan demand Dollar yang sudah tidak berimbang, serta adanya tekanan dari pasar keuangan.  “Perdagangan mata uang di Indonesia berkisar 2 millar dollar per harinya sebenarnya cukup untuk memenuhi transaksi sehari-hari. Namun untuk kondisi tertentu di saat demand meningkat seperti di akhir bulan atau akhir kuartal, suppIy-nya tidak akan mencukupi,” jelas dia.Ali pun menyebut saat ini satu-satunya penyedia supply dollar terbesar di Indonesia adalah Bank Indonesia (BI). Sementara itu, volume penjualan dollar AS dari eksportir terus berkurang tiap tahunnya.
Mengacu data HSBC Indonesia, dari total ekspor di tahun 2018 yang sebesar Rp 160-170 milyar, hanya sekitar 11 persen yang dikonversikan ke rupiah. Kondisi ini perlu diperhitungkan dalam mengantisipasi kenaikan dollar terhadap rupiah. Kemudian, saat ini Indonesia menerima arus dana asing (inflow) yang cukup besar di obligasi dan pasar saham. “Dana asing mendominasi pasar equity dan obligasi sebesar masing-masing 55 persen dan 39 persen. Dengan adanya inflow yang tinggi ini, berbagai kemungkinan terjadinya outflow juga harus selalu siap diantisipasi,” ujar Ali.Menurutnya, ke depan dukungan terhadap pendalaman pasar modal menjadi sangat penting dalam memastikan kestabilan nilai tukar rupiah. “Berbagai usaha dan yang koordinasi dari Otoritas Jasa Keuangan (OJK) dan BI telah berkontribusi besar dalam mendukung pasar modal. Namun melihat kondisi pasar yang dinamis, dibutuhkan tidak hanya dukungan dari sisi pangsa pasar namun juga penyediaan instrumen baru dalam sistem lindung nilai (hedging),” tandas Ali.",2019-08-31
42,[POPULER EKONOMI] Kesalahan Finansial yang Dihindari Orang Kaya | Kisah Nasabah yang Terjerat Pinjol,"06/02/2019, 06:58 WIB","—  Orang kaya cenderung perhitungan dalam setiap pengeluaran yang dilakukan. Hal ini berbeda dengan kebanyakan orang yang abai dengan jumlah pengeluaran, sekecil apa pun.
Berita tersebut menjadi yang terpopuler sepanjang awal pekan ini. Berita lainnya adalah mengenai nasabah yang terjerat utang dari fintech pemberi pinjaman online. Berikut lima berita terpopulernya:

Orang kaya cenderung lebih teliti dalam mengelola setiap rupiah yang akan dikeluarkan. Sementara kebanyakan orang lupa mencatat setiap pengeluaran, terutama yang nominalnya kecil. Meskipun uang bukanlah segalanya, tetap saja perlu mengetahui dan melakukan bagaimana cara  orang kaya mengelola uang agar kondisi finansial tetap sehat. Selengkapnya 

Pinjaman online di aplikasi bodong tak hanya merenggut pundi-pundi Dona. Perempuan ini juga harus kehilangan mata pencariannya. Hal ini bermula dari April 2018 lalu, Dona meminjam sejumlah uang ke salah satu aplikasi fintech peer-to-peer lending. Namun, dalam beberapa waktu, Dona tak bisa membayar. Ia terus memperpanjang pinjaman hingga bunga membengkak. Selengkapnya 

Rumah memang menjadi kebutuhan yang tak bisa dihindari. Namun, tak semudah itu mewujudkannya. Beberapa keluarga muda memilih mengontrak dulu karena rumah belum terbeli. Dana untuk uang muka alias down payment ( DP) yang cukup tinggi menjadi salah satu alasannya, apalagi dengan pendapatan yang terbilang pas-pasan. Selengkapnya 

Ombudsman RI angkat suara ihwal pernyataan Wali Kota Semarang Hendrar Prihadi yang meminta masyarakat tidak menggunakan jalan tol jika tidak mendukung pasangan Joko Widodo-Ma'ruf Amin di Pemilihan Presiden 2019. Ombudsman pun menyayangkan ucapan kepala daerah ini. Selengkapnya 

Asep, karyawan swasta, tak menyangka keputusannya meminjam uang ke aplikasi pinjaman online atau fintech peer-to-peer lending berujung petaka baginya. Ia hanya meminjam Rp 4 juta karena ada kebutuhan mendesak saat itu. Namun, bunga yang harus dibayarnya berkali-kali lipat dari jumlah tersebut. Setiap bulannya, bunga yang dikenakan sebesar 40 persen dari pinjaman. Selengkapnya",2019-08-31
43,"Perencanaan Finansial Bukan Hanya Soal Investasi, Tapi Juga Mengatur Tujuan Hidup","30/11/2018, 07:00 WIB","- Mengatur rencana dan tujuan hidup perlu dilakukan oleh setiap orang. Hal ini karena, di masa yang akan datang banyak kebutuhan baik pribadi maupun keluarga yang mesti dipenuhi.“Financial planning bukan hanya soal  investasi, tapi soal tujuan hidup. Sayangnya, di Indonesia sendiri menyusun rencana hidup sesuai jangka waktu tertentu bukan kebiasaan secara natural,” jelas Financial Trainer dan Founder QM Financial Ligwina Hananto, Kamis (29/11/2018).Dia mengungkapkan, sebelum seseorang memakai sebuah produk investasi, yang perlu diketahui telebih dahulu adalah tujuan yang ingin didapat dari investasi tersebut. “Kalau kita mau pakai produk (finansial) jangan tanya produknya dulu, tapi tetapkan dulu tujuan dan jangka waktunya. Karena ini berkaitan dgn resiko investasi yang akan diambil,” papar Ligwina. Ligwina memaparkan, jika kebutuhannya untuk jangka pendek maka pilihlah jenis produk yang sudah pasti seperti tabungan deposito dan reksa dana pasar uang. “Jangka waktu 5-10 tahun seperti emas yang logam mulia, reksa dana pendapatan tetap dan reksa dana campuran yang konsevatif,” imbuh dia. Berbeda halnya untuk memenuhi tujuan jangka panjang untuk 10-15 tahun. Ia mencontohkan untuk mengambil reksa dana campuran yang moderat dan agresif. Kemudian, untuk jangka waktu diatas 15 tahun bisa mengambil investasi dana saham.",2019-08-31
44,"Ternyata, Orang Kaya AS Pilih Stabilitas Finansial Ketimbang Cinta","03/12/2018, 14:46 WIB","- Bagi orang-orang kaya di AS, ternyata uang lebih penting ketimbang hubungan  cinta. 
Dikutip dari Bloomberg, Senin (3/12/2018), ketika mencari  pasangan, 56 persen orang kaya di AS ingin seseorang yang memberikan keamanan finansial. Sementara itu, 44 persen menyatakan memilih pasangan berdasarkan cinta semata. 
Hal tersebut berdasarkan survei yang dilakukan Bank of America Merrill Edge. Survei dilakukan terhadap lebih dari 1.000 responden. 
Dari mereka yang disurvei, 63 persen menyatakan mereka lebih memilih pasangan yang fokus pada karier. 
""Ada level realisme bagi pasangan yang menghadapi ketidakpastian ekonomi dan minim perencanaan  keuangan. Bagaimana menjaga cinta Anda apabila Anda tidak bisa membayar liburan?"" ujar Aron Levine, head of conusmer banking Bank of America dalam sebuah wawancara. 

Meski sejumlah responden menempatkan prioritas tinggi terhadap keuangan calon pasangan mereka, tidak sedikit pula di antara responden yang mengaku jarang membahas utang, gaji, investasi, atau kebiasan belanja dengan pasangan mereka. 
Sejumlah temuan lainnya adalah orang kaya AS berserdia menyisihkan rata-rata 18.000 dollar AS atau setara sekira Rp 256,1 juta (kurs Rp 14.228) per tahun untuk ditabung dan diinvestasikan. Angka ini lebih besar dibandingkan jumlah yang disisihkan untuk membayar sewa atau kredit properti, biaya pendidikan anak, hingga biaya berlibur. 
Selain itu, sebagian besar responden tidak memiliki tujuan moneter di dalam benak mereka untuk tahapan kehidupan seperti menikah atau memiliki anak. 
Hampir tiga perempat responden memperoleh panduan investasi mereka umumnya melalui kanal digital selama lima tahun. 

Responden dalam survei tersebut berusia antara 18-40 tahun. Survei dilakukan selama periode 27 September-13 Oktober 2018. 
Mereka memiliki aset yang dapat diinvestasikan antara 50.000-250.000 dollar AS atau aset 20.000-50.000 dollar AS dan pendapatan tahunan setidaknya 50.000. Bagi responden yang berusia di atas 40 tahun, mereka memiliki aset yang dapat diinvestasikan sekira 50.000-250.000 dollar AS.",2019-08-31
45,BEI: Sentimen Negatif Terkait Keamanan Pengaruhi Pasar Finansial,"16/05/2018, 13:30 WIB",".com - Pada sesi 1 pagi ini, Indeks Harga Saham Gabugan (IHSG) dibuka lemah di level 5.780,87 dan terus merosot pada titik terendahnya siang ini di level 5.743,33. Direktur Penilaian Perusahaan Bursa Efek Indonesia ( BEI) Samsul Hidayat menilai maraknya gangguan keamanan yang terjadi akan mendorong persepsi atas kemananan negara. ""Persepsi itu mempengaruhi keputusan si investor. Jadi (kondisi keamanan) berkepentingan banget, tidak hanya persoalan fundamental emiten. Tapi persoalan persepsi orang terhadap kondisi ekonomi baik secara makro maupun persepsi terhadap kemanan negara,"" ujarnya ketika ditemui awak media di BEI, Rabu (16/5/2018).  Sehingga, Samsul melanjutkan, penting bagi regulator dan stakeholder terkait untuk menjaga persepsi investor yang menimbulkan sentimen negatif terhadap kondisi pasar finansial di Indonesia. ""Ini (sentimen negatif) sebenarnya yang mendiskon investor untuk saat ini mengambil keputusan menjual (saham) terlebih dahulu,"" jelasnya.  Menurutnya, investor sudah cukup kebal terhadap kondisi semacam ini. Hanya saja, dirinya berharap polemik keamanan di Indonesia dapat segera diselesaikan sekaligus dapat menjaga iklim investasi Indonesia.",2019-08-31
46,Ini Peluang yang Bisa Digarap Industri Finansial Teknologi,"11/05/2018, 21:13 WIB","Bidang pengelolaan tenaga kerja menjadi peluang yang bisa digarap perusahaan finansial teknologi di masa mendatang. Menurut catatan dalam rilis SIM Group hari ini, aspek pengelolaan tersebut mencakup dua hal penting yakni rekrutmen sumber daya manusia (SDM) serta hubungan industrial. ""Hubungan industrial terkait pengelolaan kontrak kerja karyawan, penyimpanan kontrak kerja, regulasi pemerintah, dan sebagainya,"" kata Mira Sonia, Direktur Pemasaran SIM Group. Selanjutnya, industri finansial teknologi yang seluruhnya berbasis digital juga bisa menangkap peluang pada bisnis pinjaman keuangan. ""Yang bisa dikelola misalnya bidang penagihan,"" imbuh Anta Ginting, Direktur SIM Group.Catatan SIM Group juga menunjukkan bahwa cakupan aplikasi industri finansial teknologi sedikitnya merebak ke industri e-services, e-travel, dan digital media.Terkini, industri finansial teknologi harus merangkul teknologi blockchain. Teknologi yang acap digunakan pada cryptocurrency atau teknologi membuat mata uang digital merupakan bagian dari transformasi digital yang akan mendisrupsi proses transaksi dan metode akuntansi.",2019-08-31
